specobjid,z,z_noqso,snMedian,run2d,ra,dec,plate,mjd,fiberid
2926296117412915200,0.003184252,0,55.89574,26,188.27073,16.265534,2599,54234,299
4518482161448230912,0.03815876,0.03815876,55.89536,v5_10_0,228.07979,2.2993058,4013,55629,894
2561591400206460928,0.01379172,0,55.88499,26,129.54013,19.725673,2275,53709,615
606867505331333120,0.005032492,0,55.87136,26,226.64274,1.5590967,539,52017,27
4579138914921455616,0.05040877,0.05040877,55.85289,v5_10_0,245.35567,12.074307,4067,55361,378
2582896637420529664,0.02804222,0,55.85182,26,142.39495,24.51103,2294,53733,299
2832869240128694272,0.006606022,0,55.82496,26,234.71542,12.080651,2516,54241,382
792802346445858816,0.02499236,0,55.81259,26,37.040443,0.79904911,704,52205,614
1875829284451411968,0.01837141,0,55.79961,26,48.945663,40.757206,1666,52991,291
488673301665703936,0.04154307,0,55.79574,26,118.06365,42.249827,434,51885,119
3250620990782282752,0.1531844,0,55.79202,103,91.927208,24.157194,2887,54495,538
2036830235789387776,0.01971323,0,55.79084,26,210.4969,8.9376959,1809,53792,281
483086407116548096,0.02753818,0,55.79079,26,25.861115,13.320281,429,51820,274
2522070831048189952,0.02365111,0,55.78731,26,193.92208,27.250763,2240,53823,200
2522158791978412032,0.02564392,0,55.78373,26,194.64661,27.596389,2240,53823,520
308518871680182272,0.03899339,0,55.78362,26,160.14433,-0.90941266,274,51913,81
933518945606985728,0.02464963,0,55.766,26,132.24851,41.003167,829,52296,538
2445514042257729536,0.04634062,0,55.76178,26,238.60101,18.651992,2172,54230,216
4115324776121081856,0.02736922,0.02736922,55.7552,v5_10_0,109.76066,41.154573,3655,55240,584
2161793022801504256,0.02866235,0,55.7382,26,117.23953,17.577108,1920,53314,237
713824700161091584,0.02843419,0,55.73785,26,310.74067,-6.8328738,634,52149,15
1791423624826087424,0.01422891,0,55.72374,26,137.16024,32.592954,1591,52976,425
2482693745741424640,0.01502808,0,55.71051,26,240.62698,21.120712,2205,53793,307
2967960458729908224,0.02981251,0,55.69542,26,34.748518,0.32998548,2636,54082,321
1089973129993807872,0.02300078,0,55.69528,26,177.64485,50.528974,968,52412,371
4109762346863271936,0.02372032,0.02372032,55.68578,v5_10_0,40.487834,1.2358427,3650,55244,828
617067949060024320,0.03053703,0,55.67612,26,125.51041,44.456973,548,51986,272
591168678511273984,0.01879191,0,55.67294,26,197.38802,1.6730705,525,52029,259
640674468372441088,0.02355891,0,55.65811,26,143.69073,3.0964051,569,52264,136
1901803875388647424,0.0220727,0,55.65209,26,258.1613,23.270071,1689,53177,578
620486880584034304,0.0170419,0,55.65068,26,134.15391,51.920371,551,51993,422
1794792253844121600,0.0212074,0,55.63578,26,143.87098,34.986595,1594,52992,392
1105761568118827008,0.01264629,0,55.62866,26,311.85127,0.30082327,982,52466,465
682322321259653120,0.03647181,0,55.6077,26,215.59798,61.697527,606,52365,98
3580414012166348800,-4.447559E-05,0,55.60685,104,182.51161,29.462853,3180,54864,190
1969283380906321920,0.004324065,0,55.60604,26,160.5314,13.746999,1749,53357,307
3092903465085593600,0.01756326,0,55.60341,26,217.24263,13.861881,2747,54233,205
6910922172966871040,0.0756262,0.0756262,55.60255,v5_10_0,355.12697,16.043231,6138,56598,540
781412780438743040,0.04517066,0,55.59968,26,17.21872,-0.6553811,694,52209,139
839943908040402944,0.0416857,0,55.59677,26,352.55631,13.467141,746,52238,82
1002213138390607872,0.0178638,0,55.57853,26,119.44025,32.558116,890,52583,590
502209939305949184,0.03159124,0,55.5648,26,130.14046,53.726309,446,51899,213
1792555572281763840,0.0243076,0,55.55384,26,139.99109,33.927431,1592,52990,447
554067031779993600,0.009027392,0,55.5479,26,176.16269,67.955888,492,51955,452
1479510319209408512,0.04139066,0,55.53461,26,180.32948,56.570196,1314,53050,283
481971503382947840,1.003002E-05,0,55.51363,26,31.875556,13.447425,428,51883,314
2522152194908645376,0.02012796,0,55.50998,26,194.38682,27.610346,2240,53823,496
1899448447996553216,0.03626331,0,55.50201,26,255.41403,22.687593,1687,53260,201
4216737681252524032,0.04716473,0.04716473,55.48879,v5_10_0,39.714171,0.50869928,3745,55234,882
4060118846073184256,0.0300195,0.0300195,55.45871,v5_10_0,27.220276,-1.1319642,3606,55182,450
1792483004514330624,0.04994526,0,55.45722,26,139.08999,32.829681,1592,52990,183
2521008701188368384,0.06196309,0,55.45396,26,191.93986,30.077194,2239,53726,432
749996158813759488,0.04123919,0,55.45137,26,30.955437,-8.1289394,666,52149,534
586676353860921344,0.006157753,0,55.4501,26,189.52154,1.477751,521,52326,300
6155424633292038144,0.007468943,0.007468943,55.43993,v5_10_0,218.10725,8.0786421,5467,55973,472
4154643310957273088,0.06460582,0.06460582,55.43903,v5_10_0,124.992,52.110906,3690,55182,264
837696506491332608,0.01433449,0,55.43269,26,348.98303,13.196107,744,52251,98
1889340915382773760,0.01815184,0,55.43042,26,229.6826,41.865464,1678,53433,294
549597516325218304,0.0109701,0,55.41859,26,155.18061,65.172115,488,51914,576
811785415085287424,0.03217424,0,55.39169,26,338.39169,-10.182684,721,52228,42
310798708973266944,0.01846641,0,55.388,26,163.02827,-0.56081157,276,51909,183
5273866450955640832,0.05456981,0.05456981,55.38798,v5_10_0,131.32674,44.527667,4684,56226,550
2479322914160142336,0.03409708,0,55.37439,26,244.90366,15.278299,2202,53566,332
